id,emprendimiento_id,categoria,nombre,descripcion,precio,disponible,duracion,tags
2501,25,asesoria-profesional,Consultoría Financiera,Asesoría en finanzas personales y empresariales,80000,true,2 horas,"consultoría,finanzas,asesoría,empresarial,personal"
2502,25,asesoria-profesional,Gestión de Proyectos,Planificación y seguimiento de proyectos,120000,true,1 mes,"gestión,proyectos,planificación,seguimiento,organización"
2503,25,asesoria-profesional,Orientación Vocacional,Guía para elección de carrera profesional,60000,true,1.5 horas,"orientación,vocacional,carrera,profesional,guía"
2601,26,asesoria-profesional,Contabilidad Empresarial,Servicios contables para pequeñas empresas,150000,true,mensual,"contabilidad,empresarial,servicios,pequeñas empresas,mensual"
2602,26,asesoria-profesional,Auditoría Interna,Revisión de procesos y controles internos,200000,true,1 semana,"auditoría,interna,procesos,controles,revisión"
2603,26,asesoria-profesional,Declaración de Impuestos,Preparación y presentación de declaraciones,100000,true,3 días,"declaración,impuestos,preparación,presentación,fiscal"
2701,27,diseño-grafico,Logos Profesionales,Diseño de logos únicos para empresas,50000,true,3 días,"logos,profesionales,empresas,branding,identidad"
2702,27,diseño-grafico,Material para Redes,Posts e historias para redes sociales,30000,true,1 día,"redes sociales,posts,historias,marketing,contenido"
2703,27,diseño-grafico,Tarjetas de Presentación,Diseño de tarjetas personales y empresariales,25000,true,2 días,"tarjetas,presentación,personales,empresariales,networking"
2801,28,diseño-grafico,Banners Publicitarios,Diseño de banners para eventos y promociones,40000,true,2 días,"banners,publicitarios,eventos,promociones,diseño"
2802,28,diseño-grafico,Identidad Corporativa,Desarrollo completo de imagen empresarial,200000,true,2 semanas,"identidad,corporativa,imagen,empresarial,completo"
2803,28,diseño-grafico,Packaging Design,Diseño de empaques y etiquetas,60000,true,1 semana,"packaging,empaques,etiquetas,producto,diseño"
2901,29,edicion-fotos-videos,Edición de Fotos,Retoque y mejora de fotografías digitales,35000,true,1 día,"edición,fotos,retoque,mejora,digital"
2902,29,edicion-fotos-videos,Videos Promocionales,Creación de videos para marketing,80000,true,1 semana,"videos,promocionales,marketing,creación,audiovisual"
2903,29,edicion-fotos-videos,Montajes Creativos,Composiciones artísticas con múltiples imágenes,45000,true,2 días,"montajes,creativos,composiciones,artísticas,imágenes"
3001,30,edicion-fotos-videos,Edición de Reels,Videos cortos para redes sociales,25000,true,4 horas,"reels,videos cortos,redes sociales,edición,viral"
3002,30,edicion-fotos-videos,Documentales Cortos,Producción de mini documentales,150000,true,2 semanas,"documentales,cortos,producción,audiovisual,narrativa"
3003,30,edicion-fotos-videos,Motion Graphics,Animaciones y gráficos en movimiento,100000,true,1 semana,"motion graphics,animaciones,gráficos,movimiento,digital"
3101,31,enseñanza,Matemáticas,Clases de matemáticas para bachillerato,25000,true,1 hora,"matemáticas,bachillerato,clases,educación,apoyo"
3102,31,enseñanza,Inglés Conversacional,Clases de inglés enfocadas en conversación,30000,true,1 hora,"inglés,conversacional,idiomas,práctica,fluido"
